Empresa;Unidad;Proyecto;Centro;Ciudad;Nombre;CC;Cargo;TipoExamen;Examenes
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Juan Perez Ingreso;111111111;ANALISTA CONTABLE;INGRESO;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA,OPTOMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Maria Garcia Ingreso;222222222;ANALISTA CONTABLE;INGRESO;EXAMEN MEDICO OCUPACIONAL,ESPIROMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Carlos Lopez Periodico;333333333;ANALISTA CONTABLE;PERIODICO;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA,ESPIROMETRIA,OPTOMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Ana Martinez Periodico;444444444;ANALISTA CONTABLE;PERIODICO;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Pedro Sanchez Retiro;555555555;ANALISTA CONTABLE;RETIRO;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA,OPTOMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Laura Torres Especial;666666666;ANALISTA CONTABLE;ESPECIAL;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA,ESPIROMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Diego Ramirez Especial;777777777;ANALISTA CONTABLE;ESPECIAL;EXAMEN MEDICO OCUPACIONAL,OPTOMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Sofia Herrera PostIncap;888888888;ANALISTA CONTABLE;POST_INCAPACIDAD;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA,OPTOMETRIA,ESPIROMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Miguel Castro PostIncap;999999999;ANALISTA CONTABLE;POST_INCAPACIDAD;EXAMEN MEDICO OCUPACIONAL,ESPIROMETRIA
CONSORCIO PEAJES 2526;PEAJES Y BASCULAS;CONSORCIO PEAJES 2526;ADMINISTRACION;Bogota;Valentina Ruiz Ingreso;101010101;ANALISTA CONTABLE;INGRESO;EXAMEN MEDICO OCUPACIONAL,AUDIOMETRIA,OPTOMETRIA,ESPIROMETRIA
