Nombre de empresa;unidad de negocio;PROYECTO;Desc. C.O.;Cedula;Nombre Empleado;Cargo;Ciudad;Fecha de Ingreso;TIPO DE EXAMEN;BETAGONADOTROPINA CORIONICA ;ANTICUERPOS PARA VARICELA  ;CUADRO HEMATICO;ELECTROCARDIOGRAMA ;ENCUESTA DE SINTOMAS RESPIRATORIOS O CONTACTO ESTRECHO CON ENFERMEDADES INFECTOCONTAGIOSAS POR AEROSOLES
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;1111;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;10/02/2023;INGRESO;;1;1;1;1
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;223;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;1;1;;1;1
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;12313;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;1;1;;1;1
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;1231;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;1;1;;1;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;23123;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;1;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;123;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;2312;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;123;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;1311;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;23123;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;;
PROTECCION DE INFRAESTRUCTURA COLOMBIA - PROTINCO LTDA;PEAJES Y BASCULAS;ACCENORTE;PEAJE UNISABANA;31231;Nombre de la persona;CONTROLADOR OPERATIVO;CALI;;INGRESO;;1;;;
